nombre_articulo,descripcion,modulo,ubicacion,asignacion,estado,fecha_de_adquisición,marca,codigo_interno,stock_actual,stock_critico,unidad_medida,es_perecible,grupo,categoria,presentacion,proveedor_referencia,medida,porcentaje_desperdicio,cantidad_minima,precio_referencial
ACEITE DE AJONJOLI,ABARROTES / ACEITES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SESAME,1,0,0,L,No,ABARROTES,ACEITES,BOT X 0.250 L,DEL CARMEN,1000,0,,30
ACEITE DE MAIZ,ABARROTES / ACEITES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,A - 1,2,0,0,L,No,ABARROTES,ACEITES,BOT x 1 L,DEL CARMEN,1000,0,,10.5
ACEITE DE OLIVA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,OLIBU,3,0,0,L,No,ABARROTES,,BOT X 5L,DEL CARMEN,1000,0,,27
ACEITE DE FRITURA PROFUNDA,ABARROTES / ACEITES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CRISOL,74,0,0,L,No,ABARROTES,ACEITES,BALDEX20L,DEL CARMEN,,,,0.010635666584219638
ACEITE VEGETAL,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,FRIOL,4,0,0,L,No,ABARROTES,,BALDE X 20 L,DEL CARMEN,1,0,,8.25
ACEITUNA NEGRA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,5,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,10
ACEITUNA VERDE,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,6,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,10
ACELGA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,7,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0.1,,1.8
ACHIOTE ENTERO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,8,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,20
ACIDO CITRICO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,836,0,0,K,No,ABARROTES,,GRANEL,,1000,0,,
ACIDO TARTARICO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,837,0,0,K,No,ABARROTES,,GRANEL,,1000,0,,
AGAR AGAR,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PASSION FOODS,866,0,0,K,Si,ABARROTES,,GRANEL,PASSSION FOODS,1000,0,,200.00999999999996
AGUA CON GAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SAN LUIS,9,0,0,L,No,ABARROTES,,BOT X 0.650 L,DEL CARMEN,1000,0,,0.95
AGUA SIN GAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SAN LUIS,10,0,0,L,No,ABARROTES,,BOT X 0.650 L,DEL CARMEN,1000,0,,1.846153846153846
AGUA TONICA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BACKUS,11,0,0,L,No,ABARROTES,,BOTELLA,DEL CARMEN,1,0,,3.25
ARANDANOS,FRUTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,,0,0,K,No,FRUTA,,,VERDIFRUT,,,,25
AGUAYMANTO,FRUTA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,12,0,0,K,Si,FRUTA,,GRANEL,DEL CARMEN,1000,0,,9
AJI CHARAPITA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,13,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,35
AJI LIMO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,14,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,10
AJI MIRASOL,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,15,0,0,K,No,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,20
AJI PANCA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,16,0,0,K,No,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,20
AJI PAPRIKA MOLIDO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,17,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,14
AJI PAPRIKA SECO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,18,0,0,k,No,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,14
AJI VERDE,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,19,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,5
AJO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,20,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,10
AJO PELADO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,21,0,0,k,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0,,7.5
AJO POLVO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,22,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,23
AJONJOLI,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,23,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,22
AJONJOLI NEGRO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,24,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,18
ALAS DE POLLO,CARNICO / AVES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,RICO POLLO,25,0,0,K,Si,CARNICO,AVES,GRANEL,MARVE,1000,0.15,,10.5
ALBAHACA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,26,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,2
ALCACHOFA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,27,0,0,U,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0,,1.5
ALCAPARRAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SANTIS,28,0,0,K,No,ABARROTES,,FCO X 0.100 K,DEL CARMEN,1,0,,68
ALCOHOL,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,29,0,0,L,No,ABARROTES,,BOT X 0.5 L,DEL CARMEN,1000,0,,11
ALGARROBINA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,EL SOMBRERITO,30,0,0,L,No,ABARROTES,,BOT X 0.500 L,DEL CARMEN,1000,0,,9.8
ALGINATO DE SODIO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PASSION FOODS,867,0,0,K,Si,ABARROTES,,GRANEL,PASSSION FOODS,1000,0,,400.02
ALMEJAS,CARNICOP / PESCADOS Y MARISCOS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,31,0,0,DOC,Si,CARNICOP,PESCADOS Y MARISCOS,GRANEL,CHELITA,12,0,,5
ALMENDRAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,32,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,38
ALUMINIO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,PREMIER,33,0,0,U,No,ABARROTES,,CAJA MEDIANA,DEL CARMEN,1,0,,5
ALVERJAS PELADAS,,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,,0,0,Sin unidad,Si,,,,,,,,15
ALVERJAS,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,34,0,0,K,Si,VERDURAS,,GRANEL,DEL CARMEN,1000,0.1,,7
ALVERJAS SECAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,35,0,.,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,.,5
AMARETTO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DU BOUCHETT,36,0,0,L,No,ABARROTES,,BOT X 1 L,DON PEDRITO,1,0,,40
AMARETTO BOLS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BOLS,37,0,0,L,No,ABARROTES,,BOT X 0.750 L,DON PEDRITO,1,0,,20
AMARGO DE ANGOSTURA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,WISLAN,38,0,0,L,No,ABARROTES,,BOT X 0.075 L,DEL CARMEN,1000,0,,90.66666666666667
ANCHOAS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,EL CANDELABRO,39,0,0,K,Si,ABARROTES,,FRAS X 0.100 K,DEL CARMEN,1000,0,,75
ANIS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,40,0,0,K,No,ABARROTES,,GRANEL,LA MEJOR,1000,0,,19.5
ANIS ESTRELLA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,41,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,35
ANIS RICARD,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,RICARD,43,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1000,0,,70
ANISADO VERDE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,ANIS NAJAR,42,0,0,L,No,ABARROTES,,BOT X 0.750 L,DON PEDRITO,1,0,,24
ANTIMOHO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,44,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,17
APIO,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,45,0,0,U,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0.05,,1.5
ARANDANOS DESHIDRTADOS,,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,811,0,0,K,Si,,,,,1000,0,,
ARROZ,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,46,0,0,K,No,ABARROTES,,SACO X 50 K,DEL CARMEN,1000,0,,3.3
ARROZ ARBOREO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,COSTEÑO,47,0,0,K,No,ABARROTES,,BOLSA X 0.750 K,DEL CARMEN,1000,0,,6.5
ARROZ BOTAN,,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,,808,0,0,PQT,Si,,,,,1000,0,,
ARROZ MIYAKO,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,KINTO,50,0,0,K,No,ABARROTES,,BOLSA X 1K,DEL CARMEN,1000,0,,7.5
ARROZ PARBOILED,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,COSTEÑO,51,0,0,K,No,ABARROTES,,BOLSA X 0.750 K,DEL CARMEN,1000,0,,5.333333333333333
ARUGULA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,52,0,0,ATD,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0.05,,3.35
ATUN FILETE,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,A - 1,53,0,0,K,Si,ABARROTES,,LATA X 0.170 K,DEL CARMEN,1,0,,29.41
AVENA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,54,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,6
AZAFRAN,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,LA NONNA,55,0,0,U,No,ABARROTES,,SOBRE POR 1GR,DEL CARMEN,1,0,,5.5
AZUCAR BLANCA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,56,0,0,K,No,ABARROTES,,SACO X 5OK,LA MEJOR,1000,0,,2.67
AZUCAR IMPALPABLE NEGRITA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,NEGRITA,57,0,0,K,No,ABARROTES,,BOLSA X 1K,DEL CARMEN,1000,0,,6.66
AZUCAR INVERTIDA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,835,0,0,K,Si,ABARROTES,,GRANEL,,1000,0,,
AZUCAR RUBIA,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANEL,58,0,0,K,No,ABARROTES,,GRANEL,DEL CARMEN,1000,0,,3
BAILEYS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BAILEYS,59,0,0,L,No,ABARROTES,,BOTELLA,DON PEDRITO,1,0,,42
BARBIJOS,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GOLGEN MEDIC,81,0,0,U,No,ABARROTES,,CAJA,MAKRO,1000,8,,9.8
base de torta de tecnopor,ABARROTES,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,60,0,0,U,No,ABARROTES,,BOLSA,PIÑATERIA,1000,0,,3
BERENJENA,VERDURAS,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,SIN MARCA,61,0,0,U,Si,VERDURAS,,GRANEL,DEL CARMEN,1,0.05,,3
