nombre_articulo,descripcion,modulo,ubicacion,asignacion,estado,fecha_de_adquisición,marca,modelo,codigo_interno,cantidad,estado_conservacion,stock_actual,stock_critico,unidad_medida,es_perecible,grupo,categoria,presentacion,proveedor_referencia,medida,porcentaje_desperdicio,cantidad_minima,precio_referencial,fuente_datos,hoja_origen,numero_origen
WHISKY - CHIVAS,Licor: WHISKY,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CHIVAS,,LIC-0001,,,6,0,U,No,LICORES,WHISKY,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,2
WHISKY - BLACK LABEL,Licor: WHISKY,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,BLACK LABEL,,LIC-0002,,,4,0,U,No,LICORES,WHISKY,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,3
WHISKY - JACK DANIEL´S,Licor: WHISKY,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,JACK DANIEL´S,,LIC-0003,,,1,0,U,No,LICORES,WHISKY,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,4
WHISKY - DRAMBULE,Licor: WHISKY,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,DRAMBULE,,LIC-0004,,,1,0,U,No,LICORES,WHISKY,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,5
WHISKY - GRANT´S,Licor: WHISKY,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,GRANT´S,,LIC-0005,,,1,0,U,No,LICORES,WHISKY,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,6
WHISKY - JUSTERINI & BROOKS,Licor: WHISKY,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,JUSTERINI & BROOKS,,LIC-0006,,,1,0,U,No,LICORES,WHISKY,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,7
WHISKY - VAT 69,Licor: WHISKY,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,VAT 69,,LIC-0007,,,1,0,U,No,LICORES,WHISKY,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,8
TEQUILA - JOSE CUEVA,Licor: TEQUILA,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,JOSE CUEVA,,LIC-0008,,,4,0,U,No,LICORES,TEQUILA,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,9
RON BLANCO - CARTAVIO,Licor: RON BLANCO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,CARTAVIO,,LIC-0009,,,2,0,U,No,LICORES,RON BLANCO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,10
RON BLANCO - KINGSTOM62,Licor: RON BLANCO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,KINGSTOM62,,LIC-0010,,,1,0,U,No,LICORES,RON BLANCO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,11
RON BLANCO - HAVANA CLUD,Licor: RON BLANCO,Gastronomia,54achd64fg,86ao0esop6,Activo,2026-04-27,HAVANA CLUD,,LIC-0011,,,1,0,U,No,LICORES,RON BLANCO,,,,,,,INVENTARIO DE LICORES.xlsx,Hoja1,12
