nombre_articulo,descripcion,modulo,ubicacion,asignacion,estado,fecha_de_adquisición,marca,modelo,codigo_interno,cantidad,estado_conservacion,stock_actual,stock_critico,unidad_medida,es_perecible,grupo,categoria,presentacion,proveedor_referencia,medida,porcentaje_desperdicio,cantidad_minima,precio_referencial,fuente_datos,hoja_origen,numero_origen
CPU,CPU - M20251222001,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222001,M20251222001,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,1
CPU,CPU - M20251222002,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222002,M20251222002,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,2
CPU,CPU - M20251222003,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222003,M20251222003,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,3
CPU,CPU - M20251222004,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222004,M20251222004,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,4
CPU,CPU - M20251222005,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222005,M20251222005,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,5
CPU,CPU - M20251222006,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222006,M20251222006,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,6
CPU,CPU - M20251222007,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222007,M20251222007,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,7
CPU,CPU - M20251222008,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222008,M20251222008,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,8
CPU,CPU - M20251222009,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222009,M20251222009,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,9
CPU,CPU - M20251222010,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222010,M20251222010,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,10
CPU,CPU - M20251222011,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222011,M20251222011,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,11
CPU,CPU - M20251222012,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222012,M20251222012,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,12
CPU,CPU - M20251222013,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222013,M20251222013,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,13
CPU,CPU - M20251222014,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222014,M20251222014,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,14
CPU,CPU - M20251222015,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222015,M20251222015,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,15
CPU,CPU - M20251222016,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222016,M20251222016,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,16
CPU,CPU - M20251222017,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222017,M20251222017,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,17
CPU,CPU - M20251222018,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222018,M20251222018,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,18
CPU,CPU - M20251222019,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222019,M20251222019,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,19
CPU,CPU - M20251222020,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222020,M20251222020,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,20
CPU,CPU - M20251222021,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222021,M20251222021,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,21
CPU,CPU - M20251222022,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222022,M20251222022,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,22
CPU,CPU - M20251222023,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222023,M20251222023,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,23
CPU,CPU - M20251222024,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222024,M20251222024,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,24
CPU,CPU - M20251222025,TI,11uanrj2fc,11v6pin4jc,Activo,2025-12-22,Armadas,M20251222025,M20251222025,1,B,,,,,,,,,,,,,3. SALA DE COMPUTO.xlsx,CEDHI,25
